bell_curve_freq,switch_wins_counting_list,stay_wins_counting_list,random_wins_counting_list,exp_index,switch_winning_percentages,stay_winning_percentages,random_winning_percentages,stay_winning_percent.,pie_chart_measures,,,trial
31.6,219111,109287,164334,328000,69.2,31.6,50.4,,,,,329
32.1,219789,109608,164790,329000,67.8,32.1,45.6,,,,,330
33.6,220467,109944,165263,330000,67.8,33.6,47.3,,,,,331
32.9,221137,110273,165782,331000,67,32.9,51.9,,,,,332
32.1,221803,110594,166251,332000,66.6,32.1,46.9,,,,,333
30.2,222466,110896,166754,333000,66.3,30.2,50.3,,,,,334
32.3,223131,111219,167262,334000,66.5,32.3,50.8,,,,,335
30.5,223827,111524,167772,335000,69.6,30.5,51,,,,,336
33.7,224500,111861,168279,336000,67.3,33.7,50.7,,,,,337
36.1,225177,112222,168759,337000,67.7,36.1,48,,,,,338
34.1,225847,112563,169288,338000,67,34.1,52.9,,,,,339
34.2,226505,112905,169784,339000,65.8,34.2,49.6,,,,,340
33,227174,113235,170283,340000,66.9,33,49.9,,,,,341
33.2,227833,113567,170804,341000,65.9,33.2,52.1,,,,,342
33.4,228507,113901,171327,342000,67.4,33.4,52.3,,,,,343
32.3,229157,114224,171823,343000,65,32.3,49.6,,,,,344
33.6,229847,114560,172304,344000,69,33.6,48.1,,,,,345
30.3,230493,114863,172774,345000,64.6,30.3,47,,,,,346
32.8,231140,115191,173274,346000,64.7,32.8,50,,,,,347
32.9,231785,115520,173796,347000,64.5,32.9,52.2,,,,,348
33,232449,115850,174300,348000,66.4,33,50.4,,,,,349
32.1,233118,116171,174783,349000,66.9,32.1,48.3,,,,,350
31.9,233761,116490,175250,350000,64.3,31.9,46.7,,,,,351
34.1,234434,116831,175774,351000,67.3,34.1,52.4,,,,,352
35.4,235079,117185,176299,352000,64.5,35.4,52.5,,,,,353
31.7,235734,117502,176802,353000,65.5,31.7,50.3,,,,,354
34.4,236414,117846,177293,354000,68,34.4,49.1,,,,,355
35.9,237048,118205,177772,355000,63.4,35.9,47.9,,,,,356
32.1,237709,118526,178276,356000,66.1,32.1,50.4,,,,,357
31,238359,118836,178791,357000,65,31,51.5,,,,,358
30.8,239029,119144,179313,358000,67,30.8,52.2,,,,,359
31.6,239680,119460,179839,359000,65.1,31.6,52.6,,,,,360
34.5,240351,119805,180350,360000,67.1,34.5,51.1,,,,,361
31.6,240991,120121,180859,361000,64,31.6,50.9,,,,,362
32.9,241651,120450,181353,362000,66,32.9,49.4,,,,,363
32.9,242287,120779,181837,363000,63.6,32.9,48.4,,,,,364
32.7,242959,121106,182359,364000,67.2,32.7,52.2,,,,,365
33.5,243632,121441,182860,365000,67.3,33.5,50.1,,,,,366
